policy_id,policy_name,category,subcategory,region_scope,age_min,age_max,employment_condition,housing_condition,income_condition_text,apply_start_date,apply_end_date,apply_status,source_org,source_url,summary,source_type
a10401020100,행복주택 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사,주거,행복주택,서울,unknown,unknown,"고령자, 대학생, 산단근로자, 신혼부부, 예비신혼부부, 청년, 한부모가족","무주택, 무주택요건",unknown,unknown,unknown,안내중,LH,https://www.lh.or.kr/menu.es?mid=a10401020100,"행복주택 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 행복주택 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 무주택요건 및 소득·자산기준을 충족하는 대학생, 청년, 신혼부부, 예비신혼부부, 한부모가족, 주거급여수급자, 고령자, 산단근로자 등 해당세대의 전년도 도시근로자 가구원수별 월평균소득 100%이하인 자 * 대학생은 본인+부모의 소득 적용 * 세대원인 청년은 본인 소득 적용 * 맞벌이부부는 120% 적용 * 계층별 소득기준에 1인가구 20%p, 2인가구 10%p 각각 가산한 소득기준 적용 보유 부동산(건물+토지), 자동차의 가액이 기준금액 이하인 자 (총자산) 34,500만원 이하(신혼부부.한부모가족 기준, 2026년 적용기준) (자동차) 4,542만원 이하(신혼부부.한부모가족 기준, 2026년 적용기준) * 입주대상별 자산기준은 상이하므로 입주자 모집 공고문 참조 시중시세 60~80%",web_page
a10401020200,청년매입임대주택 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사,주거,매입임대,서울,19,39,"대학생, 미혼, 청년, 취업준비생",무주택,"1순위 : 생계·주거·의료급여 수급자 가구, 차상위계층 가구, 지원대상 한부모가족 중 하나에 해당 2순위 : 본인과 부모의 월평균 소득이 전년도 도시근로자 가구당 월평균소득 100%이하, 국민임대 자산기준 충족 3순위 : 본인의 월평균 소득이 전년도 도시근로자 1인 가구 월평균소득 100% 이하, 행복주택(청년) 자산기준 충족",unknown,unknown,안내중,LH,https://www.lh.or.kr/menu.es?mid=a10401020200,"청년매입임대주택 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 청년매입임대주택 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 무주택 요건 및 소득·자산 기준을 충족하고 다음 어느 하나에 해당하는 미혼 청년 만 19세 이상 만 39세 이하인 사람 대학생(입학 및 복학 예정자 포함) 취업준비생(고등학교 · 대학교 등을 졸업 · 중퇴 2년 이내인 미취업자) 1순위 : 생계·주거·의료급여 수급자 가구, 차상위계층 가구, 지원대상 한부모가족 중 하나에 해당 2순위 : 본인과 부모의 월평균 소득이 전년도 도시근로자 가구당 월평균소득 100%이하, 국민임대 자산기준 충족 3순위 : 본인의 월평균 소득이 전년도 도시근로자 1인 가구 월평균소득 100% 이하, 행복주택(청년) 자산기준 충족 1순위 : 보증금 100만원, 임대료 시중시세 40% 2,3순위 : 보증금 200만원, 임대료 시중시세 50%",web_page
a10401020300,기숙사형 청년주택 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사,주거,기숙사형 청년주택,서울,19,39,"대학생, 대학원생, 미혼, 청년",무주택,"1순위 : 생계·주거·의료급여 수급자 가구, 차상위계층 가구, 지원대상 한부모가족 중 하나에 해당 2순위 : 본인과 부모의 월평균 소득이 전년도 도시근로자 가구당 월평균소득 100%이하 3순위 : 본인의 월평균 소득이 전년도 도시근로자 1인 가구 월평균소득 100% 이하",unknown,unknown,안내중,LH,https://www.lh.or.kr/menu.es?mid=a10401020300,"기숙사형 청년주택 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 기숙사형 청년주택 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 무주택 요건 및 소득 기준을 충족하고 다음 어느 하나에 해당하는 미혼 청년 대학생 및 대학원생(입학 및 복학 예정자 포함) 만19세 이상 만39세 이하인 사람(3순위만 해당) 1순위 : 생계·주거·의료급여 수급자 가구, 차상위계층 가구, 지원대상 한부모가족 중 하나에 해당 2순위 : 본인과 부모의 월평균 소득이 전년도 도시근로자 가구당 월평균소득 100%이하 3순위 : 본인의 월평균 소득이 전년도 도시근로자 1인 가구 월평균소득 100% 이하 보증금 60만원, 임대료 시중시세 40%",web_page
a10401020400,청년 전세임대주택 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사,주거,전세임대,서울,19,39,"대학생, 취업준비생","무주택, 무주택요건","1순위 : 생계ㆍ주거 의료급여 수급자 가구, 보호대상 한부모가족 가구, 차상위계층 가구 2순위 : 본인과 부모의 월평균 소득이 전년도 도시근로자 가구원수별 가구당 월평균 소득의 100%이하이고, 본인과 부모의 자산이 국민임대주택의 자산기준을 충족하는 청년 3순위 : 본인의 월평균 소득이 전년도 도시근로자 가구원수별 가구당 월평균 소득의 100%이하이고, 본인의 자산이 행복주택 청년의 자산기준을 충족하는 청년",unknown,unknown,안내중,LH,https://www.lh.or.kr/menu.es?mid=a10401020400,"청년 전세임대주택 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 청년 전세임대주택 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 무주택요건 및 소득·자산기준을 충족하는 대학생, 취업준비생, 19세~39세 1순위 : 생계ㆍ주거 의료급여 수급자 가구, 보호대상 한부모가족 가구, 차상위계층 가구 2순위 : 본인과 부모의 월평균 소득이 전년도 도시근로자 가구원수별 가구당 월평균 소득의 100%이하이고, 본인과 부모의 자산이 국민임대주택의 자산기준을 충족하는 청년 3순위 : 본인의 월평균 소득이 전년도 도시근로자 가구원수별 가구당 월평균 소득의 100%이하이고, 본인의 자산이 행복주택 청년의 자산기준을 충족하는 청년 임대보증금 : 1순위 100만원, 2ㆍ3순위 200만원 월 임대료 : 전세보증금 중 임대보증금을 제외한 금액에 대한 연 1.2~2.2%이자 해당액",web_page
a10401020500,청년신혼부부 매입임대리츠(아파트) | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사,주거,매입임대,서울,19,39,"대학생, 신혼부부, 예비신혼부부",무주택,unknown,unknown,unknown,안내중,LH,https://www.lh.or.kr/menu.es?mid=a10401020500,"청년신혼부부 매입임대리츠(아파트) | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 청년신혼부부 매입임대리츠(아파트) | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 무주택 요건 및 소득 자산 기준을 충족하고 다음 어느 하나에 해당하는 가구 1순위 : 신혼부부(혼인 7년 이내), 예비신혼부부, 만 6세 이하 자녀가 있는 한부모 가족 2순위 : 만 19세 이상 만 39세 이하인 사람, 대학생 3순위 : 만 6세 이하 자녀가 있는 혼인가구 해당 세대의 소득이 전년도 도시근로자 가구당 월평균 소득 100% 이하(배우자 소득이 있는 경우 120% 이하) 충족, 분양전환공공임대주택 자산기준 충족 임대보증금 및 임대료 시중시세 90%",web_page
a10401020600,신혼ㆍ신생아 매입임대주택(ⅠㆍⅡ형) | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사,주거,매입임대,서울,unknown,unknown,"신혼부부, 예비신혼부부, 한부모가족",무주택,unknown,unknown,unknown,안내중,LH,https://www.lh.or.kr/menu.es?mid=a10401020600,"신혼ㆍ신생아 매입임대주택(ⅠㆍⅡ형) | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 신혼ㆍ신생아 매입임대주택(ⅠㆍⅡ형) | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 무주택 요건 및 소득 자산 기준을 충족하고 다음 어느 하나에 해당하는 가구 신혼부부 : 공고일 기준 혼인 7년 이내인 사람 예비신혼부부 : 공고일 기준 혼인 예정인 사람으로서 입주일 전일까지 혼인신고를 하는 사람 한부모가족 : 만 6세 이하 자녀를 둔 한부모가족, 또는 미성년 자녀를 둔 지원대상 한부모가족(「한부모가족 지원법 시행규칙」 제3조) 유자녀 혼인가구 : 만 6세 이하 자녀가 있는 혼인가구 신생아 가구 : 만 2세 이하 자녀가 있는 가구 혼인가구 : 공고일 기준 혼인한 가구(신혼ㆍ신생아 매입임대주택Ⅱ 유형만 지원 가능) 좌, 우로 이동 가능합니다. 신혼ㆍ신생아 매입임대주택(Ⅰ,Ⅱ형)의 1~5순위 조건에 대한 테이블을 제공 구분 신혼ㆍ신생아 매입임대주택 Ⅰ 신혼ㆍ신생아 매입임대주택 Ⅱ 1순위 신생아 가구 지원대상 한부모가족 「한부모가족 지원법 시행규칙」 제3조) 신생아 가구 지원대상 한부모가족 「한부모가족 지원법 시행규칙」 제3조) 2순위 1순위가 아닌, 미성년 자녀가 있는 신혼부부 미성년 자녀가 있는 예비신혼부부 6세 이하 자녀가 있는 한부모가족 1순위가 아닌, 미성년 자녀가 있는 신혼부부 미성년 자녀가 있는 예비신혼부부 6세 이하 자녀가 있는 한부모가족 3순위 미성년 자녀가 없는 신혼부부 미성년 자녀가 없는 예비신혼부부 미성년 자녀가 없는 신혼부부 미성년 자녀가 없는 예비신혼부부 4순위 1, 2순위가 아닌, 6세 이하 자녀가 있는 혼인가구 1, 2순위가 아닌, 6세 이하 자녀가 있는 혼인가구 5순위 (없음) 1, 2, 3, 4순위가 아닌, 혼인가구 신혼ㆍ신생아 매입임대주택Ⅰ 해당 세대의 소득이 전년도 도시근로자 가구당 월평균 소득 70% 이하(배우자 소득이 있는 경우 90% 이하) 충족, 국민임대주택 자산기준 충족 신혼ㆍ신생아 매입임대주택 Ⅱ 1,2,3,4순위 : 해당 세대의 소득이 전년도 도시근로자 가구당 월평균 소득 100% 이하(배우자 소득이 있는 경우 120% 이하) 충족, 행복주택(신혼부부) 자산기준 충족 5순위 : 해당 세대의 소득이 전년도 도시근로자 가구당 월평균 소득 120% 이하(배우자 소득이 있는 경우 140% 이하) 충족, 신혼희망타운(공공분양) 자산기준 충족 신혼ㆍ신생아 매입임대주택 Ⅰ 임대보증금 및 임대료 시중시세 30~40% 신혼ㆍ신생아 매입임대주택 Ⅱ 임대보증금 및 임대료 시중시세 70~80% (보증금 비율이 80%인 준전세형)",web_page
a10401020700,신혼ㆍ신생아 전세임대주택(ⅠㆍⅡ형) | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사,주거,전세임대,서울,unknown,unknown,"신혼부부, 예비신혼부부, 한부모가족","무주택, 무주택요건",unknown,unknown,unknown,안내중,LH,https://www.lh.or.kr/menu.es?mid=a10401020700,"신혼ㆍ신생아 전세임대주택(ⅠㆍⅡ형) | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 신혼ㆍ신생아 전세임대주택(ⅠㆍⅡ형) | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 무주택요건 및 소득·자산기준을 충족하는 신생아가구, 신혼부부, 예비신혼부부, 한부모가족, 유자녀혼인가구 신혼부부 : 신청일 기준 혼인 7년 이내인 사람(혼인은 혼인(재혼)신고일 기준) 예비신혼부부 : 신청일 기준 혼인 예정인 사람으로서 입주일 전일까지 혼인신고를 하는 사람 한부모가족 : 「한부모가족지원법 시행규칙」 제3조의 규정에 따라 여성가족부장관이 정하는 기준에 해당하는 보호대상 한부모 또는 일반 한부모가족(6세 이하 자녀를 둔 경우로 한정, 세대주 및 세대원 요건 불문) 유자녀 혼인가구 : 신청일 기준 6세 이하(태아포함) 자녀가 있는 혼인가구(혼인기간 무관) 신생아 가구 : 신청일 기준 2년 이내 출산한 자녀(임신진단서 등으로 확인되는 태아, 2년이내 출생한 입양자를 포함)가 있는 가구 신혼ㆍ신생아Ⅰ 월평균 소득의 70% 이하(본인 및 배우자가 모두 소득이 있는 경우 90% 이하)이고, 국민임대주택 자산기준을 충족하는 가구 신혼ㆍ신생아Ⅱ 월평균 소득의 130% 이하(본인 및 배우자가 모두 소득이 있는 경우 200% 이하)이고, 임대의무기간이 6년인 분양전환공공임대주택의 자산기준을 충족하는 가구 임대보증금 : 지원한도액 범위 내에서 전세보증금의 5% (신혼·신생아Ⅰ), 20%(신혼·신생아Ⅱ) 월 임대료 : 전세보증금 중 임대보증금을 제외한 금액에 대한 연 1.2~2.2% 이자 해당액",web_page
a10401020800,자립준비청년 및 가정 밖 청소년 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사,주거,기타,서울,unknown,unknown,청년,무주택,unknown,unknown,unknown,안내중,LH,https://www.lh.or.kr/menu.es?mid=a10401020800,"자립준비청년 및 가정 밖 청소년 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 자립준비청년 및 가정 밖 청소년 | 청년ㆍ신혼부부계층 임대주택 | 주거복지사업 | 사업소개 : 한국토지주택공사 - 자립준비청년 : 신청일 현재 무주택자로서, 「아동복지법」 제16조 및 제16조의3에 따라 가정위탁 보호조치가 종료되거나 아동복지시설에서 퇴소한지 5년 이내인 사람 (보호조치를 연장한 자, 보호조치 종료 예정자, 시설 퇴소 예정자 포함) - 가정 밖 청소년 : 신청일 현재 무주택자로서, 「청소년복지지원법」 제31조에 따라 청소년복지시설에서 퇴소 예정이거나 퇴소한 지 5년이 지나지 아니한 사람 중 성평등가족부장관이 주거지원이 필요하다고 인정한 자 건설임대 임대보증금 100만원, 임대료 시중시세 30% ~ 90%(건설임대 유형별 상이) 매입임대 임대보증금 100만원, 임대료 시중시세 40% 전세임대 임대보증금 100만원, 월임대료 1 22세 이하 무이자 2 전세임대주택 거주 5년 이내 50%감면 (단, 다른 우대금리와 중복적용 불가) 3 전세임대주택 거주 5년 이후 보증금 지원 규모별 연 1.2~2.2% 좌, 우로 이동 가능합니다. 월 임대료 (보증금 지원 규모별)[4천만원 이하, 4천만원 초과~6천만원 이하, 6천만원 초과]에 대한 테이블 제공 월 임대료 (보증금 지원 규모별) 4천만원 이하 4천만원 초과 ~ 6천만원 이하 6천만원 초과 연 1.2% 연1.7% 연 2.2% 매입임대 거주기간 2년(요건 충족 시 재계약 4회 가능, 최장 10년) (재계약 연장을 원하는 경우 재계약 추가 5회 가능, 최장 20년) 전세임대 거주기간 최초 임대기간 경과 후 2년단위로 14회 재계약 가능 (4회 초과시 무주택자로서 소득 및 자산기준을 충족하는 자에 한하여 재계약 가능)",web_page
